0,170.0
1,203.0
2,203.0
3,203.0
4,244.0
5,303.0
6,293.0
7,203.0
8,203.0
9,269.0
10,243.0
11,303.0
12,203.0
13,203.0
14,209.0
15,209.0
16,202.0
17,202.0
18,202.0
19,202.0
20,230.0
21,202.0
22,170.0
23,170.0
24,170.0
25,214.0
26,274.0
27,279.0
28,279.0
29,279.0
30,202.0
31,202.0
32,202.0
33,202.0
34,180.0
35,180.0
36,202.0
37,180.0
38,180.0
39,203.0
40,203.0
41,180.0
42,180.0
43,247.0
44,203.0
45,180.0
46,180.0
47,180.0
48,180.0
49,261.0
50,279.0
51,279.0
52,180.0
53,180.0
54,214.0
55,180.0
56,180.0
57,240.0
58,256.0
59,203.0
60,202.0
61,202.0
62,214.0
63,203.0
64,203.0
65,233.0
66,259.0
67,214.0
68,203.0
69,180.0
70,180.0
71,180.0
72,180.0
73,180.0
74,180.0
75,228.0
76,180.0
77,170.0
78,170.0
79,192.0
80,242.0
81,180.0
82,180.0
83,180.0
84,170.0
85,170.0
86,180.0
87,202.0
88,216.0
89,273.0
90,288.0
91,170.0
92,170.0
93,249.0
94,256.0
95,202.0
96,202.0
97,214.0
98,264.0
99,303.0
100,202.0
101,202.0
102,207.0
103,226.0
104,203.0
105,203.0
106,180.0
107,180.0
108,170.0
109,170.0
110,231.0
111,180.0
112,180.0
113,180.0
114,251.0
115,180.0
116,180.0
117,194.0
118,194.0
119,219.0
120,170.0
121,170.0
122,180.0
123,180.0
124,180.0
125,202.0
126,202.0
127,227.0
128,239.0
129,327.0
130,170.0
131,170.0
132,267.0
133,214.0
134,203.0
135,203.0
136,214.0
137,214.0
138,275.0
139,202.0
140,202.0
141,170.0
142,170.0
143,210.0
144,180.0
145,170.0
146,170.0
147,180.0
148,180.0
149,180.0
150,202.0
151,231.0
152,267.0
153,279.0
154,180.0
155,180.0
156,234.0
157,279.0
158,256.0
159,256.0
160,203.0
161,203.0
162,203.0
163,248.0
164,263.0
165,214.0
166,214.0
167,180.0
168,180.0
169,204.0
170,242.0
171,256.0
172,203.0
173,203.0
174,223.0
175,203.0
176,203.0
177,278.0
178,324.0
179,341.0
180,170.0
